model,dataset,prompt_type,llm_mean,llm_median,llm_std,llm_consensus_rate,st_mean,st_median,st_std,st_success_rate,agreement_rate,both_success_rate,neither_success_rate,combined_score
Qwen3VL,Data_Without_Comments_Description,Description_Simple,0.2368,0.15000000000000002,0.2600879851127306,0.208,0.41844797440618275,0.41181807219982147,0.1642048899856647,0.308,0.692,0.104,0.588,0.3276239872030914
Qwen3VL,Data_Without_Comments_Description,Description_Reason,0.2164,0.05,0.26752764343147795,0.204,0.41428141902387144,0.4117308557033539,0.16562779069472308,0.324,0.688,0.108,0.58,0.3153407095119357
Qwen3VL,Data_Without_Comments_Description,Description_Fewshot,0.2114,0.1,0.25238866852535197,0.2,0.39060038489103316,0.3833502233028412,0.1931306521338588,0.308,0.652,0.08,0.572,0.30100019244551657
Qwen3VL,Dataset_DeadCode_Description,Description_Simple,0.06080000000000001,0.0,0.1520636708750647,0.032,0.3209068685211241,0.3068782687187195,0.1620478683114429,0.128,0.872,0.016,0.856,0.19085343426056206
Qwen3VL,Dataset_DeadCode_Description,Description_Fewshot,0.074,0.0,0.17861690849412887,0.052,0.29479862945526836,0.284881129860878,0.17387042829118168,0.14,0.84,0.016,0.824,0.18439931472763418
Qwen3VL,Dataset_DeadCode_Description,Description_Reason,0.06,0.0,0.1374772708486752,0.036,0.3034521765038371,0.29199494421482086,0.15350760692371612,0.132,0.864,0.016,0.848,0.18172608825191855
Qwen3VL,Dataset_DeadCode_Description,Description_Vague,0.060200000000000004,0.0,0.12339351684752323,0.024,0.26762332168221475,0.2547518312931061,0.16046149944518914,0.08,0.904,0.004,0.9,0.16391166084110737
Qwen3VL,Dataset_DeadCode_Description,Description_Detailed,0.0496,0.0,0.1254585190411556,0.024,0.27450999942049387,0.2703402638435364,0.17462776823987233,0.108,0.868,0.0,0.868,0.16205499971024692
Qwen3VL,Dataset_Encryption_Description,Description_Simple,0.0414,0.0,0.11805100592540498,0.024,0.27552638740465046,0.25046783685684204,0.15342329290033618,0.1,0.908,0.016,0.892,0.15846319370232523
Qwen3VL,Dataset_Encryption_Description,Description_Reason,0.056,0.0,0.15140673697032112,0.044,0.24964534210786224,0.2230224758386612,0.15203943506436707,0.064,0.908,0.008,0.9,0.15282267105393113
